,variable,value
0,"c1,1",4.353672241085736
1,"c1,2",1.9287218212914696
2,"c1,3",-8.490711263446274
3,beta1,-5.416867284939606
0,"c1,1",4.738710079960415
1,"c1,2",1.9851934562136195
2,"c1,3",-9.564301441545126
3,beta1,-5.865099245640149
0,"c1,1",3.87359681386629
1,"c1,2",1.5786256855759855
2,"c1,3",-8.82075312118761
3,beta1,-5.537847372669976
0,"c1,1",4.731208958974712
1,"c1,2",2.170302451702453
2,"c1,3",-10.669315169013798
3,beta1,-6.630355176235311
0,"c1,1",4.1671255707899615
1,"c1,2",1.8926525511620187
2,"c1,3",-8.498150276368033
3,beta1,-5.469124107603573
0,"c1,1",5.503586439858942
1,"c1,2",1.8694273868868891
2,"c1,3",-10.250597215749147
3,beta1,-6.599495673025887
0,"c1,1",6.087036130413225
1,"c1,2",2.5600551194435104
2,"c1,3",-12.395964263935543
3,beta1,-7.5443340326604105
0,"c1,1",5.7682342533605695
1,"c1,2",2.6568082413983096
2,"c1,3",-11.589971779070133
3,beta1,-7.413045272744927
0,"c1,1",5.147409105020166
1,"c1,2",2.0951272842401476
2,"c1,3",-9.698292766538778
3,beta1,-5.995914067797919
0,"c1,1",5.325532111029029
1,"c1,2",1.9733434242446914
2,"c1,3",-8.85543408211004
3,beta1,-5.5222891248077275
0,"c1,1",5.333965517951144
1,"c1,2",1.830441322995042
2,"c1,3",-9.76035254687146
3,beta1,-6.239961716680891
0,"c1,1",4.78534279299699
1,"c1,2",2.203220875183031
2,"c1,3",-9.387332546486219
3,beta1,-5.8878887612762325
0,"c1,1",4.8053290939721025
1,"c1,2",2.371661564290296
2,"c1,3",-10.276434490018529
3,beta1,-6.160901895965083
0,"c1,1",5.0567817439469795
1,"c1,2",1.995195077336358
2,"c1,3",-9.82363379461625
3,beta1,-5.990598417628332
0,"c1,1",5.319728050252329
1,"c1,2",2.5092761237178287
2,"c1,3",-9.409377961178015
3,beta1,-6.4992781292157495
0,"c1,1",5.336605132856944
1,"c1,2",2.1955496564307913
2,"c1,3",-10.3377819388076
3,beta1,-6.464492879818263
0,"c1,1",4.509090886340809
1,"c1,2",1.8999311077209784
2,"c1,3",-9.347958581460436
3,beta1,-5.6545959581369205
0,"c1,1",4.997331829461783
1,"c1,2",1.9939989859103864
2,"c1,3",-10.202232546342024
3,beta1,-6.460522623258807
0,"c1,1",5.400073381343631
1,"c1,2",1.9037005104475908
2,"c1,3",-11.314488544833582
3,beta1,-6.692423281621521
0,"c1,1",4.714499176274142
1,"c1,2",1.5877443371038864
2,"c1,3",-10.05531143380027
3,beta1,-5.920597960284114
0,"c1,1",5.279057042657737
1,"c1,2",2.076496541259523
2,"c1,3",-9.89804161791421
3,beta1,-5.964412228412519
0,"c1,1",4.150544734001461
1,"c1,2",1.73980156696808
2,"c1,3",-9.426123049872384
3,beta1,-5.549197024148048
0,"c1,1",5.341848312504743
1,"c1,2",2.1164031744269627
2,"c1,3",-10.018668059231333
3,beta1,-6.133938324543316
0,"c1,1",4.58822409127124
1,"c1,2",1.9143888806171572
2,"c1,3",-10.03396018960763
3,beta1,-6.112005446570912
0,"c1,1",4.838551922486503
1,"c1,2",1.7047570849548461
2,"c1,3",-9.039656131815153
3,beta1,-5.681842610881143
0,"c1,1",5.858089026814908
1,"c1,2",2.217899739362596
2,"c1,3",-11.208600570942915
3,beta1,-6.722073095668918
0,"c1,1",4.773497794263857
1,"c1,2",2.1351068978038628
2,"c1,3",-10.0813543130823
3,beta1,-6.261996663847107
0,"c1,1",5.425034033921852
1,"c1,2",2.1045463917103593
2,"c1,3",-9.760916083298007
3,beta1,-5.76580552563717
0,"c1,1",4.671793869319603
1,"c1,2",1.9595400613088392
2,"c1,3",-8.93678080807326
3,beta1,-5.785423807802106
0,"c1,1",5.737443504846114
1,"c1,2",2.2504241263064415
2,"c1,3",-10.853046272732684
3,beta1,-6.88063703660133
0,"c1,1",4.847495701716726
1,"c1,2",2.0454451386646006
2,"c1,3",-9.07826444679545
3,beta1,-5.601297936226951
0,"c1,1",4.850140963612143
1,"c1,2",1.975802009138904
2,"c1,3",-10.264941972379852
3,beta1,-6.206644386018415
0,"c1,1",5.1382722092453506
1,"c1,2",1.858977606268064
2,"c1,3",-9.059640731375552
3,beta1,-5.688090388909279
0,"c1,1",4.1423879017329615
1,"c1,2",1.8524195357786906
2,"c1,3",-8.869523947301525
3,beta1,-5.747719370395558
0,"c1,1",4.443461508511383
1,"c1,2",1.9807921779564375
2,"c1,3",-9.080390936167733
3,beta1,-5.639658565676733
0,"c1,1",5.178746329732794
1,"c1,2",2.063111548390185
2,"c1,3",-11.135470078115787
3,beta1,-7.11748227596685
0,"c1,1",5.006875409068591
1,"c1,2",2.0481140660082837
2,"c1,3",-9.12213499516539
3,beta1,-6.067450601756553
0,"c1,1",5.182347885669111
1,"c1,2",1.9460855700085697
2,"c1,3",-9.900452754421256
3,beta1,-6.035157636962665
0,"c1,1",4.223921529611518
1,"c1,2",1.777058415869336
2,"c1,3",-9.758530861968145
3,beta1,-5.85802259195564
0,"c1,1",5.584750979189
1,"c1,2",2.5304800953338753
2,"c1,3",-11.032345539931196
3,beta1,-6.563326264667849
0,"c1,1",4.83738368377761
1,"c1,2",1.8470775608626346
2,"c1,3",-8.604775858658378
3,beta1,-5.528660579206799
0,"c1,1",4.664361920988431
1,"c1,2",1.7319746611764866
2,"c1,3",-10.952193576844643
3,beta1,-6.351976851555802
0,"c1,1",5.941510074114614
1,"c1,2",2.1785714756342385
2,"c1,3",-11.698754858266486
3,beta1,-7.138770682450694
0,"c1,1",6.9741066626451955
1,"c1,2",2.6311920248796445
2,"c1,3",-12.686063370930405
3,beta1,-8.025305791464513
0,"c1,1",5.98075567871466
1,"c1,2",2.578789904901854
2,"c1,3",-10.9713285188001
3,beta1,-6.932558180207494
0,"c1,1",4.5040404357981165
1,"c1,2",1.8093795539595188
2,"c1,3",-8.884050866766422
3,beta1,-5.495561941139275
0,"c1,1",4.853086166748501
1,"c1,2",1.7860759909723338
2,"c1,3",-9.236862897116842
3,beta1,-5.610039619284578
0,"c1,1",4.707464187816879
1,"c1,2",1.9400404892183523
2,"c1,3",-10.282694974043126
3,beta1,-5.98290747351578
0,"c1,1",4.518138600126116
1,"c1,2",2.35980222844974
2,"c1,3",-10.360602509695436
3,beta1,-6.042802058905178
0,"c1,1",4.2304180004362255
1,"c1,2",1.6476649230151503
2,"c1,3",-8.063121772781528
3,beta1,-4.92487821192463
0,"c1,1",5.965219345545112
1,"c1,2",2.2378608786527625
2,"c1,3",-10.954315666408107
3,beta1,-6.965810037751263
0,"c1,1",5.13572754385227
1,"c1,2",1.8760431763148115
2,"c1,3",-9.48065647461491
3,beta1,-6.288957624177032
0,"c1,1",5.568780672008851
1,"c1,2",2.321308520328664
2,"c1,3",-11.097143885946988
3,beta1,-6.647267977891971
0,"c1,1",4.223033431097877
1,"c1,2",1.6017789425948576
2,"c1,3",-9.838313844408898
3,beta1,-5.613455926685937
0,"c1,1",5.212457847522184
1,"c1,2",2.260846205679172
2,"c1,3",-9.90471635042924
3,beta1,-5.855472051546945
0,"c1,1",5.110014332681239
1,"c1,2",1.787009556701765
2,"c1,3",-9.25695831078454
3,beta1,-5.740454429457767
0,"c1,1",4.750547148470033
1,"c1,2",1.6891570635597213
2,"c1,3",-8.906923188722034
3,beta1,-5.308508836324407
0,"c1,1",5.274960029346272
1,"c1,2",1.8984588027171938
2,"c1,3",-10.419432960878357
3,beta1,-6.617482105211527
0,"c1,1",6.506257673734222
1,"c1,2",2.3017810002466117
2,"c1,3",-11.013303465875447
3,beta1,-7.385331478129364
0,"c1,1",4.772392541336652
1,"c1,2",2.0378101616472097
2,"c1,3",-10.393807554625893
3,beta1,-6.529987872091231
0,"c1,1",4.937678906788399
1,"c1,2",2.126266327248776
2,"c1,3",-9.101194422450908
3,beta1,-5.831915177116408
0,"c1,1",4.909272609070626
1,"c1,2",2.1676407044538117
2,"c1,3",-10.25591857508539
3,beta1,-5.873391077779235
0,"c1,1",4.7683735662630164
1,"c1,2",1.8553633433624617
2,"c1,3",-10.146475663347257
3,beta1,-5.8245035474620765
0,"c1,1",4.457418853401248
1,"c1,2",1.7428536636146659
2,"c1,3",-9.284767873060405
3,beta1,-5.637385464797984
0,"c1,1",4.946914134870154
1,"c1,2",1.8758410329842101
2,"c1,3",-10.004107467672323
3,beta1,-6.4302221866075175
0,"c1,1",5.038603522396199
1,"c1,2",2.0514648127685464
2,"c1,3",-9.76598833620056
3,beta1,-5.870117316873511
0,"c1,1",5.834994208056941
1,"c1,2",2.453368272382563
2,"c1,3",-10.149952664915192
3,beta1,-6.42929710721871
0,"c1,1",5.533420689468368
1,"c1,2",2.2225701588189892
2,"c1,3",-9.927995526340421
3,beta1,-6.245878859383608
0,"c1,1",4.559860025580831
1,"c1,2",2.1588889552372827
2,"c1,3",-9.778629791859142
3,beta1,-5.7083041747123815
0,"c1,1",5.105043845656132
1,"c1,2",1.6709826072832143
2,"c1,3",-9.333013974701561
3,beta1,-5.8032968809842185
0,"c1,1",6.458333929163324
1,"c1,2",2.461823967516013
2,"c1,3",-11.295597737953909
3,beta1,-6.962919517729929
0,"c1,1",4.728999581696607
1,"c1,2",1.9258035930818365
2,"c1,3",-9.652036544700493
3,beta1,-5.950807121599943
0,"c1,1",4.701869710264145
1,"c1,2",2.231359909056337
2,"c1,3",-9.514097875429837
3,beta1,-5.9886002352476835
0,"c1,1",4.908855267499709
1,"c1,2",1.982031468391885
2,"c1,3",-9.763761518632746
3,beta1,-6.023980808065694
0,"c1,1",5.271054319126387
1,"c1,2",2.2929480403918894
2,"c1,3",-10.274035869214387
3,beta1,-7.005206493697639
0,"c1,1",6.630730940444153
1,"c1,2",2.914281049488203
2,"c1,3",-12.229330424856162
3,beta1,-7.240585905982323
0,"c1,1",5.295554408542847
1,"c1,2",2.405028026418395
2,"c1,3",-10.969835072841658
3,beta1,-6.791903266946014
0,"c1,1",5.169918490334731
1,"c1,2",2.124664350389841
2,"c1,3",-9.757558544529013
3,beta1,-5.958360826356662
0,"c1,1",5.537832368332271
1,"c1,2",1.8437231691170695
2,"c1,3",-10.151890197904477
3,beta1,-6.26497124894544
0,"c1,1",5.565044562922069
1,"c1,2",1.8808911967830446
2,"c1,3",-11.436037857794178
3,beta1,-6.791686228117145
0,"c1,1",5.079866421874248
1,"c1,2",2.239097088271265
2,"c1,3",-9.552741728656454
3,beta1,-5.896067149333518
0,"c1,1",3.5958727398826182
1,"c1,2",1.6477081067063106
2,"c1,3",-8.707115354368213
3,beta1,-4.954590428260285
0,"c1,1",4.432167255367817
1,"c1,2",2.042711194634055
2,"c1,3",-8.582022356993294
3,beta1,-5.8496020655406245
0,"c1,1",5.632453852322421
1,"c1,2",2.3544043757177997
2,"c1,3",-9.31030008860558
3,beta1,-6.44320747670054
0,"c1,1",4.72152418671928
1,"c1,2",1.9245943791018227
2,"c1,3",-8.933723671749611
3,beta1,-5.9849279989922675
0,"c1,1",4.262199706693725
1,"c1,2",1.977917972396058
2,"c1,3",-8.459167074866086
3,beta1,-5.575421978564336
0,"c1,1",4.8497136213327545
1,"c1,2",2.047312903678252
2,"c1,3",-9.978392010058666
3,beta1,-6.1310296740369195
0,"c1,1",4.78096612809908
1,"c1,2",2.1511353535273683
2,"c1,3",-9.646802968263522
3,beta1,-6.119944126260243
0,"c1,1",5.474463588789318
1,"c1,2",1.795680096360961
2,"c1,3",-8.633793126165852
3,beta1,-5.807449623115668
0,"c1,1",5.1126552584547555
1,"c1,2",1.9321706410615163
2,"c1,3",-9.930282096796557
3,beta1,-5.931381278406672
0,"c1,1",5.021381789729053
1,"c1,2",1.7291052659225852
2,"c1,3",-9.022114518039437
3,beta1,-5.478833245282502
0,"c1,1",5.380346026183123
1,"c1,2",1.482760187304822
2,"c1,3",-9.06821936249375
3,beta1,-5.677013202461795
0,"c1,1",4.361732696275649
1,"c1,2",1.5643852436400099
2,"c1,3",-10.667644423014423
3,beta1,-6.259723016784914
0,"c1,1",4.870500038900058
1,"c1,2",1.8475734172127396
2,"c1,3",-10.476640224522058
3,beta1,-6.195246917165965
0,"c1,1",5.211183296430672
1,"c1,2",2.0881115780361865
2,"c1,3",-10.443496571033272
3,beta1,-6.43253555215923
0,"c1,1",5.2035606224075615
1,"c1,2",2.1703373572342546
2,"c1,3",-10.155479441543434
3,beta1,-6.621615723807391
0,"c1,1",6.238594205597423
1,"c1,2",2.1260306598666707
2,"c1,3",-11.181438137411337
3,beta1,-7.098864976487534
0,"c1,1",4.508696601498059
1,"c1,2",2.098126259052117
2,"c1,3",-9.586433268684743
3,beta1,-6.059124575203301
0,"c1,1",4.355021084723027
1,"c1,2",2.226838066367561
2,"c1,3",-9.456939998667915
3,beta1,-5.9322379972023285
0,"c1,1",4.768888672921766
1,"c1,2",2.203882711953673
2,"c1,3",-9.735131437266439
3,beta1,-5.787886838405425
