,Unnamed: 0,variable,value
0,0,"c1,1",2.5366764812900318
1,1,"c1,2",0.9781573137196437
2,2,"c1,3",-1.036413224853379
3,3,beta1,0.2985636237980115
4,4,"c1,1",2.458346500750658
5,5,"c1,2",0.9750547030653856
6,6,"c1,3",-1.0283020281392174
7,7,beta1,0.2804584531424279
8,8,"c1,1",2.491275352086681
9,9,"c1,2",1.012431708197763
10,10,"c1,3",-0.9426028086517244
11,11,beta1,0.2794763344689309
12,12,"c1,1",2.507627841896201
13,13,"c1,2",0.9834250776938072
14,14,"c1,3",-1.2264224482475874
15,15,beta1,0.2930532299056008
16,16,"c1,1",2.4706242632973585
17,17,"c1,2",1.0539483403614027
18,18,"c1,3",-0.958714607411622
19,19,beta1,0.3037110119223191
20,20,"c1,1",2.51430026467938
21,21,"c1,2",0.986726337681656
22,22,"c1,3",-1.104968698253232
23,23,beta1,0.3074823836422584
24,24,"c1,1",2.533162365546465
25,25,"c1,2",0.992533658259558
26,26,"c1,3",-0.9458670222036444
27,27,beta1,0.2988841873576967
28,28,"c1,1",2.5388253271417223
29,29,"c1,2",1.0062313532748666
30,30,"c1,3",-1.137985714593496
31,31,beta1,0.3088519187676192
32,32,"c1,1",2.4776793519257323
33,33,"c1,2",1.0318755027363615
34,34,"c1,3",-0.8894628686660232
35,35,beta1,0.3162556684868183
36,36,"c1,1",2.4802556087106407
37,37,"c1,2",0.9851546405870264
38,38,"c1,3",-0.984367399586654
39,39,beta1,0.3141059039476357
40,40,"c1,1",2.452333100332617
41,41,"c1,2",0.9650821918577734
42,42,"c1,3",-0.9298663684151736
43,43,beta1,0.3191519277317453
44,44,"c1,1",2.4940119588181826
45,45,"c1,2",1.0404222237545608
46,46,"c1,3",-0.9762098883860588
47,47,beta1,0.2853561846299144
48,48,"c1,1",2.5130090916206043
49,49,"c1,2",1.0329576363231088
50,50,"c1,3",-0.9682784117169644
51,51,beta1,0.2861299413701317
52,52,"c1,1",2.4677292284278303
53,53,"c1,2",1.0021591996092127
54,54,"c1,3",-1.046571511069461
55,55,beta1,0.2915613110145835
56,56,"c1,1",2.53841285062321
57,57,"c1,2",0.9652066545794696
58,58,"c1,3",-0.9758629476880836
59,59,beta1,0.2882961314623602
60,60,"c1,1",2.512864600397717
61,61,"c1,2",0.9482558252384812
62,62,"c1,3",-0.968255502795215
63,63,beta1,0.2768945570798908
64,64,"c1,1",2.5128625309565957
65,65,"c1,2",1.037744998929138
66,66,"c1,3",-0.9592544617838984
67,67,beta1,0.3088164631917413
68,68,"c1,1",2.485629405070503
69,69,"c1,2",0.978975385366842
70,70,"c1,3",-0.996636990769239
71,71,beta1,0.290487477241757
72,72,"c1,1",2.47653523621756
73,73,"c1,2",1.0130035017628114
74,74,"c1,3",-0.9356667370146344
75,75,beta1,0.3104031607058383
76,76,"c1,1",2.5024081797047715
77,77,"c1,2",1.0410670253290766
78,78,"c1,3",-1.0244479560945738
79,79,beta1,0.3035975962955999
80,80,"c1,1",2.499735963109421
81,81,"c1,2",0.9519670916418504
82,82,"c1,3",-0.8462815686361014
83,83,beta1,0.3008395773710147
84,84,"c1,1",2.5292998687005257
85,85,"c1,2",0.9910977573626548
86,86,"c1,3",-0.9752090364294392
87,87,beta1,0.3312149569976236
88,88,"c1,1",2.529302752628917
89,89,"c1,2",1.0070537140213562
90,90,"c1,3",-0.990130170916862
91,91,beta1,0.2740795820854791
92,92,"c1,1",2.5195701229608387
93,93,"c1,2",0.987698922226074
94,94,"c1,3",-1.168463361746266
95,95,beta1,0.3358225052655957
96,96,"c1,1",2.458185259420436
97,97,"c1,2",0.9646246175429476
98,98,"c1,3",-0.8474315183016955
99,99,beta1,0.3041609029016054
100,100,"c1,1",2.489251519023391
101,101,"c1,2",0.9582894968447144
102,102,"c1,3",-1.0044016756190115
103,103,beta1,0.3095561703731125
104,104,"c1,1",2.496079155983552
105,105,"c1,2",1.0369532096233507
106,106,"c1,3",-1.0447019916158882
107,107,beta1,0.3095041036761548
108,108,"c1,1",2.485056529978243
109,109,"c1,2",1.0275421549285793
110,110,"c1,3",-0.8160664191425809
111,111,beta1,0.2921373773588841
112,112,"c1,1",2.4800032450254035
113,113,"c1,2",0.9786701894192714
114,114,"c1,3",-1.1889462931135912
115,115,beta1,0.2904329222698338
116,116,"c1,1",2.564268005764456
117,117,"c1,2",0.9934495965131896
118,118,"c1,3",-1.0737162713203114
119,119,beta1,0.2862279534259173
120,120,"c1,1",2.466783081043256
121,121,"c1,2",1.0378926306706615
122,122,"c1,3",-0.9395071052040056
123,123,beta1,0.3052417483444326
124,124,"c1,1",2.4909371857317764
125,125,"c1,2",1.0138177593974136
126,126,"c1,3",-0.9664305321402372
127,127,beta1,0.3086447312645481
128,128,"c1,1",2.5274076270685164
129,129,"c1,2",0.9952520800452948
130,130,"c1,3",-1.036519015532568
131,131,beta1,0.3190521319061079
132,132,"c1,1",2.5316403348737344
133,133,"c1,2",1.019991375988179
134,134,"c1,3",-1.2939123037729396
135,135,beta1,0.3009511667245789
136,136,"c1,1",2.475178371315349
137,137,"c1,2",0.9955099805089098
138,138,"c1,3",-1.096597433029192
139,139,beta1,0.2871161681894092
140,140,"c1,1",2.4770959545555087
141,141,"c1,2",1.0004346074443131
142,142,"c1,3",-0.926743675704924
143,143,beta1,0.3405182280735543
144,144,"c1,1",2.520222767415217
145,145,"c1,2",0.9735464579565296
146,146,"c1,3",-0.9865613374339184
147,147,beta1,0.3189261375212785
148,148,"c1,1",2.536545222041425
149,149,"c1,2",1.0776564355520095
150,150,"c1,3",-1.029268758408478
151,151,beta1,0.2757674022498825
152,152,"c1,1",2.524750440920159
153,153,"c1,2",0.9399567946294254
154,154,"c1,3",-0.9230372025589152
155,155,beta1,0.301989006149331
156,0,"c1,1",2.5090155625852377
157,1,"c1,2",1.0303502643880544
158,2,"c1,3",-1.1931592390855077
159,3,beta1,0.2839194544485168
160,4,"c1,1",2.504153277537001
161,5,"c1,2",0.9549437994585772
162,6,"c1,3",-1.2059519869423274
163,7,beta1,0.3440727880393904
164,8,"c1,1",2.4920740242255817
165,9,"c1,2",1.0568717623071515
166,10,"c1,3",-0.9936387264793948
167,11,beta1,0.2920495813685396
168,12,"c1,1",2.5034769670385613
169,13,"c1,2",1.0160091884233506
170,14,"c1,3",-1.1177140648479038
171,15,beta1,0.3101728649722749
172,16,"c1,1",2.4698541356452983
173,17,"c1,2",0.976095141077452
174,18,"c1,3",-1.0892864761585506
175,19,beta1,0.3002510411790287
176,20,"c1,1",2.528714472594745
177,21,"c1,2",0.96759412459695
178,22,"c1,3",-1.2443021120659354
179,23,beta1,0.3265293280647312
180,24,"c1,1",2.4849759789974417
181,25,"c1,2",0.9749212481965192
182,26,"c1,3",-1.0177260097764045
183,27,beta1,0.2848923251573063
184,28,"c1,1",2.5098738803166385
185,29,"c1,2",1.0485404810050931
186,30,"c1,3",-0.9115927859485162
187,31,beta1,0.2982831951944057
188,32,"c1,1",2.521616663536627
189,33,"c1,2",0.9387204190371864
190,34,"c1,3",-1.0453986313068755
191,35,beta1,0.2648411067896243
192,36,"c1,1",2.544452437063401
193,37,"c1,2",1.0362373131180411
194,38,"c1,3",-1.0128776162364732
195,39,beta1,0.2888526201279052
196,40,"c1,1",2.508576529474056
197,41,"c1,2",0.9924447004184576
198,42,"c1,3",-1.10222719539546
199,43,beta1,0.3237668558346304
200,44,"c1,1",2.496965232856056
201,45,"c1,2",1.0125268300201966
202,46,"c1,3",-0.9353022518173554
203,47,beta1,0.2941715363713916
204,48,"c1,1",2.4694597206099025
205,49,"c1,2",0.984809086326904
206,50,"c1,3",-0.9049266718983224
207,51,beta1,0.3240239400043496
208,52,"c1,1",2.493223713184748
209,53,"c1,2",1.023557804692818
210,54,"c1,3",-0.9760208278451066
211,55,beta1,0.283983974269116
212,56,"c1,1",2.503502552206031
213,57,"c1,2",1.0042644905875533
214,58,"c1,3",-0.8457507734967045
215,59,beta1,0.3024673760745439
216,0,"c1,1",2.5058993338324718
217,1,"c1,2",0.996143216619042
218,2,"c1,3",-0.9317129053061408
219,3,beta1,0.282624347538815
220,4,"c1,1",2.4827536760569253
221,5,"c1,2",1.0119949493966205
222,6,"c1,3",-1.0406834553392603
223,7,beta1,0.2939883667777152
224,8,"c1,1",2.506158807603559
225,9,"c1,2",0.9871226087475896
226,10,"c1,3",-0.9864741736090256
227,11,beta1,0.3011596790720595
228,12,"c1,1",2.499511649519448
229,13,"c1,2",0.9708474066114392
230,14,"c1,3",-0.8713587751310776
231,15,beta1,0.3086700088424939
232,16,"c1,1",2.5187873321380843
233,17,"c1,2",0.9954896607151849
234,18,"c1,3",-1.0392464017162124
235,19,beta1,0.298603715802601
236,20,"c1,1",2.53332668987757
237,21,"c1,2",0.967517164628866
238,22,"c1,3",-0.7467849399237075
239,23,beta1,0.2719814333758713
240,24,"c1,1",2.5057888205828736
241,25,"c1,2",0.9939947916171648
242,26,"c1,3",-1.1512656516124642
243,27,beta1,0.3198965033413732
244,28,"c1,1",2.509912623266933
245,29,"c1,2",1.036983844366822
246,30,"c1,3",-0.8972465876901186
247,31,beta1,0.2856817894105179
248,32,"c1,1",2.496622863911881
249,33,"c1,2",1.0199414828784965
250,34,"c1,3",-1.0092023630922955
251,35,beta1,0.2661849502275659
252,36,"c1,1",2.5090144789615665
253,37,"c1,2",1.0126554113589117
254,38,"c1,3",-1.0877251261975749
255,39,beta1,0.2894499048081579
256,40,"c1,1",2.527519675801583
257,41,"c1,2",1.0366085116366135
258,42,"c1,3",-1.1674560075777285
259,43,beta1,0.3102318634750771
260,44,"c1,1",2.4997492406483377
261,45,"c1,2",0.9814975069364262
262,46,"c1,3",-1.1187981767043398
263,47,beta1,0.3178359559647429
264,0,"c1,1",2.533724865909289
265,1,"c1,2",1.0336395112099066
266,2,"c1,3",-1.1497716341576771
267,3,beta1,0.27229515945323
268,4,"c1,1",2.531347939404715
269,5,"c1,2",0.9940239539705784
270,6,"c1,3",-1.1499222342945197
271,7,beta1,0.2989077862826397
272,8,"c1,1",2.50158045892254
273,9,"c1,2",1.009912699756096
274,10,"c1,3",-1.082435634999222
275,11,beta1,0.303313430046956
276,12,"c1,1",2.497036651244513
277,13,"c1,2",1.0179580244678943
278,14,"c1,3",-1.032488023354431
279,15,beta1,0.2815284280067335
280,16,"c1,1",2.4974617422086567
281,17,"c1,2",0.9734325834408636
282,18,"c1,3",-0.9474476664376194
283,19,beta1,0.3014915265346054
284,20,"c1,1",2.51001371012925
285,21,"c1,2",1.024185908560742
286,22,"c1,3",-1.165861073745248
287,23,beta1,0.2893162477136302
288,24,"c1,1",2.5030657252458823
289,25,"c1,2",0.9843166201656828
290,26,"c1,3",-1.0295935402072391
291,27,beta1,0.3045868171907435
292,28,"c1,1",2.5007238293728387
293,29,"c1,2",0.9741479900719558
294,30,"c1,3",-1.1392247801029776
295,31,beta1,0.2902551861263123
296,32,"c1,1",2.505887990532591
297,33,"c1,2",0.9680517573300144
298,34,"c1,3",-0.8886012690380043
299,35,beta1,0.2978551753641547
300,36,"c1,1",2.490923957806808
301,37,"c1,2",1.0095219506767306
302,38,"c1,3",-0.7414757400678745
303,39,beta1,0.311987450800993
304,40,"c1,1",2.4874193336967103
305,41,"c1,2",0.9704989256124412
306,42,"c1,3",-1.1951671059798152
307,43,beta1,0.3260726908870205
308,0,"c1,1",2.5393428000877614
309,1,"c1,2",1.0483927496276644
310,2,"c1,3",-1.1966569509545066
311,3,beta1,0.2824874971778295
312,4,"c1,1",2.5078490130376
313,5,"c1,2",0.9452229200531824
314,6,"c1,3",-1.011358610031477
315,7,beta1,0.3414551795084273
316,8,"c1,1",2.4781238089887005
317,9,"c1,2",1.024898969704274
318,10,"c1,3",-1.1180916974477748
319,11,beta1,0.3085591415962516
320,12,"c1,1",2.527498132807766
321,13,"c1,2",0.9861481429032984
322,14,"c1,3",-1.0483091576492962
323,15,beta1,0.2980835700711025
324,16,"c1,1",2.485464748874638
325,17,"c1,2",1.0174185802105726
326,18,"c1,3",-1.0224964972486044
327,19,beta1,0.2744342745660496
328,20,"c1,1",2.468047899530029
329,21,"c1,2",1.036076860673267
330,22,"c1,3",-0.8018934631739913
331,23,beta1,0.3133250563774696
332,24,"c1,1",2.4723356163916543
333,25,"c1,2",1.0029145219853688
334,26,"c1,3",-0.8605713732441005
335,27,beta1,0.3068755573481417
336,28,"c1,1",2.5152091414931257
337,29,"c1,2",0.9650562668652832
338,30,"c1,3",-1.1244278928217493
339,31,beta1,0.3082563511156679
340,32,"c1,1",2.496363981578975
341,33,"c1,2",1.0074849152777143
342,34,"c1,3",-1.0511213261629964
343,35,beta1,0.2783458213520956
344,36,"c1,1",2.5357684017115814
345,37,"c1,2",1.0028112863507546
346,38,"c1,3",-0.8197439045583566
347,39,beta1,0.2940604095219237
348,0,"c1,1",2.520654824912998
349,1,"c1,2",0.9715449785950316
350,2,"c1,3",-0.9050625242821888
351,3,beta1,0.2841252492388334
352,4,"c1,1",2.484795740354148
353,5,"c1,2",0.9833168988998908
354,6,"c1,3",-1.14329203731421
355,7,beta1,0.2922016768486918
356,8,"c1,1",2.480026541476443
357,9,"c1,2",1.0362294918356405
358,10,"c1,3",-1.0951696357693146
359,11,beta1,0.3268246335327233
360,12,"c1,1",2.497104484069096
361,13,"c1,2",0.9702469409590632
362,14,"c1,3",-0.7462481732722543
363,15,beta1,0.2897071228702046
364,16,"c1,1",2.487997179458308
365,17,"c1,2",1.0577252575405205
366,18,"c1,3",-1.0975259875322465
367,19,beta1,0.2864858043924941
368,20,"c1,1",2.523080510526392
369,21,"c1,2",1.010927840264071
370,22,"c1,3",-0.995231725298393
371,23,beta1,0.3233733020243003
372,24,"c1,1",2.4721105627589197
373,25,"c1,2",0.9820454402178608
374,26,"c1,3",-0.9051587250084394
375,27,beta1,0.2747861657321068
376,28,"c1,1",2.5239230062532494
377,29,"c1,2",1.0320883306697677
378,30,"c1,3",-0.9762644206232804
379,31,beta1,0.2718823382394678
380,32,"c1,1",2.496808342746499
381,33,"c1,2",1.0175522582242438
382,34,"c1,3",-0.9424869393785316
383,35,beta1,0.2874487565087866
384,36,"c1,1",2.4853695860998166
385,37,"c1,2",0.98530174198501
386,38,"c1,3",-1.0086157360886243
387,39,beta1,0.3016113395524641
388,40,"c1,1",2.468612200959578
389,41,"c1,2",1.017992439115785
390,42,"c1,3",-1.0556968293082094
391,43,beta1,0.3095250796912676
392,44,"c1,1",2.5139277214535096
393,45,"c1,2",1.0278184834049011
394,46,"c1,3",-1.081593413984677
395,47,beta1,0.2846601614791649
396,48,"c1,1",2.480439152389424
397,49,"c1,2",1.0479817496266763
398,50,"c1,3",-1.027816017954328
399,51,beta1,0.2797818925914416
